"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","萬華區騰雲里",972,946822,974,584,350,1087,3074.99,315.68
"台北市","萬華區萬壽里",1056,1088799,1031,637,311,1214,1454.56,141.07
"台北市","萬華區西門里",1261,1306437,1036,637,360,1126,3072.9,296.6
"台北市","萬華區孝德里",967,736218,761,572,350,969,661.7,86.91
"台北市","萬華區新安里",1686,1281333,760,546,341,936,752.67,99.04
"台北市","萬華區新和里",2585,2341449,906,648,361,1161,994.21,109.76
"台北市","萬華區新起里",2289,2349008,1026,623,339,1197,2510.37,244.62
"台北市","萬華區新忠里",1017,840854,827,580,358,1057,769.74,93.1
"台北市","萬華區興德里",1171,912244,779,583,347,974,705.65,90.58
"台北市","萬華區忠德里",1252,946637,756,550,332,988,674,89.14
"台北市","萬華區忠貞里",1314,1024030,779,546,325,946,819.26,105.12
"台北市","文山區博嘉里",1830,2321383,1269,749,423,1398,4293,338.43
"台北市","文山區華興里",2846,3824042,1344,804,415,1617,1965.43,146.27
"台北市","文山區景東里",2310,2511376,1087,791,417,1441,1124.56,103.44
"台北市","文山區景華里",1913,2150022,1124,729,399,1376,1605.2,142.82
"台北市","文山區景美里",1757,2065024,1175,759,410,1443,1428.77,121.57
"台北市","文山區景慶里",2111,2049331,971,674,371,1273,968.12,99.73
"台北市","文山區景仁里",1602,1804183,1126,768,396,1447,1335.11,118.55
"台北市","文山區景行里",2106,2247053,1067,729,400,1339,1190.7,111.6
"台北市","文山區老泉里",199,147532,741,538,308,882,719.65,97.07
"台北市","文山區明興里",2398,2459505,1026,749,404,1332,985.76,96.11
"台北市","文山區明義里",904,911188,1008,584,316,1163,1423.92,141.27
"台北市","文山區木柵里",2839,3882016,1367,775,401,1541,3270.58,239.18
"台北市","文山區木新里",2907,2844859,979,635,369,1189,1801.32,184.07
"台北市","文山區試院里",2363,2756512,1167,770,412,1429,3461.97,296.78
"台北市","文山區順興里",2403,2409360,1003,657,385,1242,1466.28,146.24
"台北市","文山區萬芳里",2730,2861016,1048,731,394,1366,1088.85,103.9
"台北市","文山區萬和里",1019,1183617,1162,779,414,1358,1616.38,139.16
"台北市","文山區萬隆里",2505,2838894,1133,774,402,1494,1213.01,107.03
"台北市","文山區萬美里",2250,2996095,1332,758,394,1520,2098.62,157.6
"台北市","文山區萬年里",1890,2455399,1299,737,383,1463,6494.59,499.91
"台北市","文山區萬盛里",1662,1935229,1164,740,395,1433,3461.43,297.27
"台北市","文山區萬祥里",1578,1619067,1026,701,392,1379,1027.27,100.12
"台北市","文山區萬興里",2763,4042765,1463,845,449,1746,2253.56,154.02
"台北市","文山區萬有里",1840,2086454,1134,774,422,1469,1210.84,106.78
"台北市","文山區興安里",2282,2857510,1252,777,395,1586,1670.95,133.44
"台北市","文山區興邦里",1547,1671629,1081,767,418,1446,1155.24,106.91
"台北市","文山區興昌里",2397,3554536,1483,869,452,1660,6342.31,427.69
"台北市","文山區興得里",1956,1944421,994,684,360,1289,1080.72,108.72
"台北市","文山區興豐里",1638,2018160,1232,781,424,1553,1597.14,129.63
"台北市","文山區興福里",1890,1938258,1026,693,395,1314,1225.23,119.47
"台北市","文山區興光里",1150,1342524,1167,714,397,1445,1884.75,161.45
"台北市","文山區興家里",2572,2422333,942,663,390,1209,960.86,102.02
"台北市","文山區興泰里",1367,1490575,1090,727,383,1333,1423.59,130.56
"台北市","文山區興旺里",2847,2856479,1003,722,416,1285,1066.54,106.3
"台北市","文山區興業里",1916,2048821,1069,743,398,1339,1166.01,109.04
"台北市","文山區樟腳里",1833,2340898,1277,726,384,1492,2004.16,156.93
"台北市","文山區樟林里",2836,2882356,1016,706,398,1296,1432.14,140.91
"台北市","文山區樟樹里",1514,1499842,991,664,384,1195,1274.3,128.63
"台北市","文山區樟文里",1981,1967814,993,690,391,1264,1032.92,103.98
"台北市","文山區樟新里",1978,2451916,1240,808,440,1485,1725.35,139.19
"台北市","文山區政大里",2284,4002529,1752,1215,552,2206,2194.61,125.23
"台北市","文山區指南里",1110,1262529,1137,750,392,1422,1270.5,111.7
"台北市","文山區忠順里",1339,1698713,1269,820,422,1623,1998.86,157.56
"台北市","信義區安康里",3796,14643157,3858,974,472,2075,32796.85,850.2
"台北市","信義區大道里",2213,2176592,984,643,381,1224,1080.74,109.88
"台北市","信義區大仁里",1321,1125716,852,603,353,1114,803.79,94.32
"台北市","信義區敦厚里",1993,2187307,1097,735,387,1409,1292.23,117.74
"台北市","信義區富台里",1533,1782718,1163,754,395,1404,1529.81,131.55
"台北市","信義區廣居里",2797,3436949,1229,790,412,1546,1584.44,128.94
"台北市","信義區國業里",2546,3096759,1216,772,414,1511,1651.41,135.77
"台北市","信義區惠安里",2208,2134035,967,685,382,1210,1050.17,108.66
"台北市","信義區嘉興里",1206,1157900,960,645,364,1151,1210.58,126.09
"台北市","信義區景聯里",1680,1795070,1068,716,369,1333,1180.29,110.46
"台北市","信義區景勤里",1336,1276269,955,672,375,1211,1000.8,104.76
"台北市","信義區景新里",1834,4948080,2698,808,414,1711,14104.93,522.8
"台北市","信義區黎安里",452,334112,739,513,321,877,776.47,105.04
"台北市","信義區黎平里",2541,2621750,1032,722,391,1303,1079.8,104.65
"台北市","信義區黎順里",1431,1453556,1016,657,373,1274,1143.38,112.56
