"行政區域","縣市名稱","Ym","city","gen_sum"
"大安區全安里","台北市",10503,"台北市",1477799
"大安區全安里","台北市",10509,"台北市",2689067
"大安區全安里","台北市",10505,"台北市",1513547
"大安區全安里","台北市",10507,"台北市",2304649
"大安區全安里","台北市",10511,"台北市",1899588
"大安區全安里","台北市",10501,"台北市",1332387
"大安區群賢里","台北市",10503,"台北市",1686276
"大安區群賢里","台北市",10501,"台北市",1804994
"大安區群賢里","台北市",10507,"台北市",3058803
"大安區群賢里","台北市",10509,"台北市",2793607
"大安區群賢里","台北市",10505,"台北市",2137786
"大安區群賢里","台北市",10511,"台北市",1884784
"大安區群英里","台北市",10509,"台北市",1967338
"大安區群英里","台北市",10505,"台北市",1618939
"大安區群英里","台北市",10507,"台北市",2414365
"大安區群英里","台北市",10503,"台北市",1188609
"大安區群英里","台北市",10501,"台北市",1356906
"大安區群英里","台北市",10511,"台北市",1255802
"大安區仁愛里","台北市",10511,"台北市",2392318
"大安區仁愛里","台北市",10503,"台北市",2167361
"大安區仁愛里","台北市",10509,"台北市",3497726
"大安區仁愛里","台北市",10507,"台北市",4071006
"大安區仁愛里","台北市",10505,"台北市",3025083
"大安區仁愛里","台北市",10501,"台北市",2426139
"大安區仁慈里","台北市",10507,"台北市",2630603
"大安區仁慈里","台北市",10501,"台北市",1490763
"大安區仁慈里","台北市",10505,"台北市",1922400
"大安區仁慈里","台北市",10509,"台北市",2212931
"大安區仁慈里","台北市",10503,"台北市",1358944
"大安區仁慈里","台北市",10511,"台北市",1484167
"大安區通安里","台北市",10501,"台北市",1370511
"大安區通安里","台北市",10507,"台北市",2409950
"大安區通安里","台北市",10505,"台北市",1575087
"大安區通安里","台北市",10503,"台北市",1517103
"大安區通安里","台北市",10511,"台北市",2026355
"大安區通安里","台北市",10509,"台北市",2841681
"大安區通化里","台北市",10503,"台北市",1796354
"大安區通化里","台北市",10511,"台北市",2288045
"大安區通化里","台北市",10501,"台北市",1643260
"大安區通化里","台北市",10507,"台北市",2674173
"大安區通化里","台北市",10505,"台北市",1825283
"大安區通化里","台北市",10509,"台北市",3105048
"大安區臥龍里","台北市",10507,"台北市",1176975
"大安區臥龍里","台北市",10509,"台北市",1282772
"大安區臥龍里","台北市",10503,"台北市",729637
"大安區臥龍里","台北市",10505,"台北市",826012
"大安區臥龍里","台北市",10511,"台北市",936356
"大安區臥龍里","台北市",10501,"台北市",741673
"大安區新龍里","台北市",10509,"台北市",2472009
"大安區新龍里","台北市",10507,"台北市",2051075
"大安區新龍里","台北市",10503,"台北市",1471571
"大安區新龍里","台北市",10505,"台北市",1512721
"大安區新龍里","台北市",10511,"台北市",1755806
"大安區新龍里","台北市",10501,"台北市",1340922
"大安區學府里","台北市",10501,"台北市",584442
"大安區學府里","台北市",10511,"台北市",704627
"大安區學府里","台北市",10503,"台北市",647323
"大安區學府里","台北市",10505,"台北市",673053
"大安區學府里","台北市",10507,"台北市",891692
"大安區學府里","台北市",10509,"台北市",928543
"大安區義安里","台北市",10507,"台北市",2781031
"大安區義安里","台北市",10501,"台北市",1594415
"大安區義安里","台北市",10511,"台北市",2299598
"大安區義安里","台北市",10509,"台北市",3209442
"大安區義安里","台北市",10505,"台北市",1847954
"大安區義安里","台北市",10503,"台北市",1808964
"大安區義村里","台北市",10503,"台北市",1522527
"大安區義村里","台北市",10505,"台北市",1581854
"大安區義村里","台北市",10507,"台北市",2223951
"大安區義村里","台北市",10511,"台北市",1911154
"大安區義村里","台北市",10501,"台北市",1339092
"大安區義村里","台北市",10509,"台北市",2643664
"大安區永康里","台北市",10505,"台北市",1152987
"大安區永康里","台北市",10511,"台北市",1051401
"大安區永康里","台北市",10501,"台北市",911735
"大安區永康里","台北市",10503,"台北市",1033131
"大安區永康里","台北市",10507,"台北市",1747170
"大安區永康里","台北市",10509,"台北市",1579425
"大安區正聲里","台北市",10511,"台北市",1495523
"大安區正聲里","台北市",10507,"台北市",2609492
